Identifiant;Nom;Adresse;Localisation;Code postal;Code INSEE;Commune;Code catégorie;Sous-Catégorie;Source;Date d’installation;Descriptif;Téléphone;Lien;Ouverture;Capacité;Capacité (valeur);Conditions;Exploitant;Modèle de station;Lignes de transport en commun;Géométrie
34497;Station biclooPlus Cité Internationale Des Congrès (n°54);Rue de Jemmapes;2, rue de Jemmapes - 2, avenue Jean-Claude Bonduelle;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;34 places;34;ABONNEMENT TICKET;JCDecaux;;4;"{""type"": ""Point"", ""coordinates"": [-1.5449525413981071, 47.21318008444329]}"
34521;Station biclooPlus De Gaulle (n°78);Rue Françoise Giroud;7, rue Françoise Giroud - Boulevard Général de Gaulle;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;21 places;21;ABONNEMENT TICKET;JCDecaux;;4;"{""type"": ""Point"", ""coordinates"": [-1.5405144881077342, 47.20844367585451]}"
34537;Station biclooPlus Petit Port (n°94);Boulevard du Petit Port;Boulevard du Petit Port - place du 8 mai 1945;44300;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;20 places;20;ABONNEMENT TICKET;JCDecaux;;26 - C20;"{""type"": ""Point"", ""coordinates"": [-1.556344610514337, 47.24326391361412]}"
34554;Station biclooPlus Diderot (n°111);Avenue de la Vendée;Avenue de la Vendée - Face à l'Espace Diderot - REZÉ;44400;44143;Rezé;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;21 places;21;ABONNEMENT TICKET;JCDecaux;;2 - 3 - 30 - 33 - LS;"{""type"": ""Point"", ""coordinates"": [-1.562532000136988, 47.18449099912796]}"
34559;Station biclooPlus Liberté (n°116);Boulevard de la Liberté;Rond-Point de Louisiane;44100;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;20 places;20;ABONNEMENT TICKET;JCDecaux;;10 - 81 - C1 - LO;"{""type"": ""Point"", ""coordinates"": [-1.588394999640925, 47.19812399913103]}"
34566;Station biclooPlus Trarieux (n°123);Place Gabriel Trarieux;3, place Gabriel Trarieux;44300;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;20 places;20;ABONNEMENT TICKET;JCDecaux;;10 - 12 - 137 - 147 - 157 - 87;"{""type"": ""Point"", ""coordinates"": [-1.5223340001205221, 47.22595699920414]}"
34458;Station biclooPlus Saint Félix (n°14);Boulevard Amiral Courbet;35, Boulevard Amiral Courbet;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;14 places;14;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.556132999569387, 47.23033399868553]}"
34460;Station biclooPlus Édouard Normand (n°16);Place Edouard Normand;Face au 7, place Edouard Normand;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.563419483524874, 47.21902754347281]}"
34475;Station biclooPlus Foch (n°32);Place Maréchal Foch;Place Foch;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;14 places;14;ABONNEMENT TICKET;JCDecaux;;11 - 12 - 4 - C1 - C6 - LC - LN;"{""type"": ""Point"", ""coordinates"": [-1.550185000350946, 47.21924839862821]}"
34488;Station biclooPlus Prairie Au Duc (n°45);Boulevard de la Prairie au Duc;25, boulevard de la Prairie au Duc;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;13 places;13;ABONNEMENT TICKET;JCDecaux;;5 - LN - LO - LS;"{""type"": ""Point"", ""coordinates"": [-1.558923109811675, 47.204783934706725]}"
